Rk,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
148,Logan Couture\coutulo01,26,C,SJS,52,15,21,36,2,20,10,5,0,4,11,10,0,137,10.9,904,17:23,38,29,271,305,47.0
149,Aaron Ekblad\ekblaaa01,19,D,FLA,78,15,21,36,18,41,12,3,0,4,15,6,0,182,8.2,1691,21:41,59,87,0,0,
150,Anders Lee\leean01,25,LW,NYI,80,15,21,36,-2,51,7,8,0,3,15,6,0,183,8.2,1166,14:35,31,164,1,5,16.7
151,Rick Nash\nashri01,31,LW,NYR,60,15,21,36,8,30,11,4,0,4,18,2,1,183,8.2,1016,16:56,24,69,0,1,0.0
152,Tanner Pearson\pearsta01,23,LW,LAK,79,15,21,36,11,18,13,2,0,4,19,2,0,137,10.9,1142,14:28,34,104,8,17,32.0
153,Nick Bjugstad\bjugsni01,23,C,FLA,67,15,19,34,-8,41,9,6,0,3,10,9,0,171,8.8,1039,15:31,28,87,449,419,51.7
154,Michael Frolik\frolimi01,27,RW,CGY,64,15,17,32,1,24,13,0,2,4,14,1,2,155,9.7,1012,15:49,44,49,5,5,50.0
155,Mattias Janmark\janmama02,23,C,DAL,73,15,14,29,12,16,14,0,1,3,13,1,0,108,13.9,1035,14:10,21,4,94,166,36.2
156,Sven Baertschi\baertsv01,23,LW,VAN,69,15,13,28,-14,14,13,2,0,1,8,5,0,108,13.9,929,13:27,36,30,0,1,0.0
157,David Pastrnak\pastrda01,19,RW,BOS,51,15,11,26,3,20,15,0,0,2,10,1,0,108,13.9,711,13:57,15,52,0,3,0.0
158,Cal Clutterbuck\cluttca01,28,RW,NYI,77,15,8,23,7,22,13,0,2,5,7,0,1,80,18.8,918,11:55,34,288,1,2,33.3
159,Roman Josi\josiro01,25,D,NSH,81,14,47,61,-3,43,7,6,1,3,28,18,1,198,7.1,2064,25:29,185,59,0,0,
160,Ryan Johansen\johanry01,23,C,TOT,80,14,46,60,6,61,10,4,0,2,28,18,0,185,7.6,1405,17:34,30,115,652,594,52.3
161,Tomas Plekanec\plekato01,33,C,MTL,82,14,40,54,4,36,13,1,0,1,28,12,0,189,7.4,1520,18:32,46,60,804,811,49.8
162,Drew Doughty\doughdr01,26,D,LAK,82,14,37,51,24,52,4,9,1,3,21,15,1,197,7.1,2297,28:01,105,125,0,0,
163,Brent Seabrook\seabrbr01,30,D,CHI,81,14,35,49,6,32,8,6,0,3,16,19,0,167,8.4,1849,22:49,150,121,0,0,
164,Kevin Shattenkirk\shattke01,27,D,STL,72,14,30,44,-14,51,8,6,0,1,9,20,1,180,7.8,1614,22:25,113,82,0,0,
165,Teddy Purcell\purcete01,30,RW,TOT,76,14,29,43,-11,12,12,2,0,2,20,8,1,149,9.4,1279,16:50,15,31,2,4,33.3
166,Travis Zajac\zajactr01,30,C,NJD,74,14,28,42,3,25,6,6,2,2,16,11,1,111,12.6,1469,19:51,41,65,715,672,51.6
167,Alex Killorn\killoal01,26,C,TBL,81,14,26,40,14,44,11,3,0,3,22,3,1,154,9.1,1360,16:48,23,76,31,49,38.8
168,Carl Hagelin\hagelca01,27,LW,TOT,80,14,25,39,8,32,14,0,0,6,23,0,2,178,7.9,1257,15:42,33,84,6,8,42.9
169,Mike Cammalleri\cammami01,33,LW,NJD,42,14,24,38,15,18,11,3,0,1,17,7,0,101,13.9,810,19:17,13,15,7,7,50.0
170,Tyler Johnson\johnsty01,25,C,TBL,69,14,24,38,4,20,11,3,0,7,14,10,0,167,8.4,1183,17:08,25,46,479,507,48.6
171,Tobias Rieder\riedeto01,23,RW,ARI,82,14,23,37,-21,10,12,2,0,1,16,6,1,189,7.4,1419,17:18,43,54,10,19,34.5
172,Kevin Hayes\hayeske01,23,RW,NYR,79,14,22,36,4,30,11,3,0,3,19,3,0,133,10.5,1079,13:40,23,59,137,244,36.0
173,Benoit Pouliot\poulibe01,29,LW,EDM,55,14,22,36,-6,30,8,5,1,0,18,4,0,109,12.8,883,16:03,25,35,20,29,40.8
174,Vladislav Namestnikov\namesvl01,23,C,TBL,80,14,21,35,17,45,13,1,0,2,18,3,0,106,13.2,1129,14:07,33,49,175,216,44.8
175,Erik Haula\haulaer01,24,C,MIN,76,14,20,34,21,24,12,0,2,2,17,1,2,99,14.1,967,12:44,55,57,416,365,53.3
176,Andrew Shaw\shawan01,24,RW,CHI,78,14,20,34,11,69,10,4,0,2,16,4,0,153,9.2,1143,14:39,21,148,146,168,46.5
